date,Read Type,time,kWh
2022-03-30T00:00:00Z,kWh Net,12:00:00,0.89
2022-03-30T00:00:00Z,kWh Net,12:15:00,0.49
2022-03-30T00:00:00Z,kWh Net,12:30:00,1.08
2022-03-30T00:00:00Z,kWh Net,12:45:00,0.59
2022-03-30T00:00:00Z,kWh Net,13:00:00,1
2022-03-30T00:00:00Z,kWh Net,13:15:00,0.96
2022-03-30T00:00:00Z,kWh Net,13:30:00,0.39
2022-03-30T00:00:00Z,kWh Net,13:45:00,0.78
2022-03-30T00:00:00Z,kWh Net,14:00:00,0.44
2022-03-30T00:00:00Z,kWh Net,14:15:00,0.55
2022-03-30T00:00:00Z,kWh Net,14:30:00,0.35
2022-03-30T00:00:00Z,kWh Net,14:45:00,0.17
2022-03-30T00:00:00Z,kWh Net,15:00:00,0.42
2022-03-30T00:00:00Z,kWh Net,15:15:00,0.51
2022-03-30T00:00:00Z,kWh Net,15:30:00,0.2
2022-03-30T00:00:00Z,kWh Net,15:45:00,0.19
2022-03-30T00:00:00Z,kWh Net,16:00:00,0.18
