date,Read Type,time,kWh
2022-04-18T00:00:00Z,kWh Consumed,01:30:00,0.2
2022-04-18T00:00:00Z,kWh Consumed,01:45:00,0.2
2022-04-18T00:00:00Z,kWh Consumed,02:00:00,0.21
2022-04-18T00:00:00Z,kWh Consumed,02:15:00,0.2
2022-04-18T00:00:00Z,kWh Consumed,02:30:00,0.22
2022-04-18T00:00:00Z,kWh Consumed,02:45:00,0.21
2022-04-18T00:00:00Z,kWh Consumed,03:00:00,0.22
2022-04-18T00:00:00Z,kWh Consumed,03:15:00,0.21
2022-04-18T00:00:00Z,kWh Consumed,03:30:00,0.2
2022-04-18T00:00:00Z,kWh Consumed,03:45:00,0.13
2022-04-18T00:00:00Z,kWh Consumed,04:00:00,0.15
2022-04-18T00:00:00Z,kWh Consumed,04:15:00,0.07
2022-04-18T00:00:00Z,kWh Consumed,04:30:00,0.65
2022-04-18T00:00:00Z,kWh Consumed,04:45:00,0.32
2022-04-18T00:00:00Z,kWh Consumed,05:00:00,0.61
2022-04-18T00:00:00Z,kWh Consumed,05:15:00,0.31
2022-04-18T00:00:00Z,kWh Consumed,05:30:00,0.83
2022-04-18T00:00:00Z,kWh Consumed,05:45:00,1.3
2022-04-18T00:00:00Z,kWh Consumed,06:00:00,1.06
2022-04-18T00:00:00Z,kWh Consumed,06:15:00,0.6950000000000001
2022-04-18T00:00:00Z,kWh Consumed,06:30:00,0.47600000000000003
2022-04-18T00:00:00Z,kWh Consumed,06:45:00,0.745
2022-04-18T00:00:00Z,kWh Consumed,07:00:00,0.8019999999999999
2022-04-18T00:00:00Z,kWh Consumed,07:15:00,0.443
2022-04-18T00:00:00Z,kWh Consumed,07:30:00,0.595
2022-04-18T00:00:00Z,kWh Consumed,07:45:00,0.819
2022-04-18T00:00:00Z,kWh Consumed,08:00:00,0.8300000000000001
2022-04-18T00:00:00Z,kWh Consumed,08:15:00,0.366
2022-04-18T00:00:00Z,kWh Consumed,08:30:00,0.40800000000000014
2022-04-18T00:00:00Z,kWh Consumed,08:45:00,0.38299999999999995
2022-04-18T00:00:00Z,kWh Consumed,09:00:00,0.675
2022-04-18T00:00:00Z,kWh Consumed,09:15:00,0.04499999999999993
2022-04-18T00:00:00Z,kWh Consumed,09:30:00,0.57
2022-04-18T00:00:00Z,kWh Consumed,09:45:00,0.07300000000000018
2022-04-18T00:00:00Z,kWh Consumed,10:00:00,0.252
2022-04-18T00:00:00Z,kWh Consumed,10:15:00,0.587
2022-04-18T00:00:00Z,kWh Consumed,10:30:00,0.42099999999999993
2022-04-18T00:00:00Z,kWh Consumed,10:45:00,0.18899999999999983
2022-04-18T00:00:00Z,kWh Consumed,11:00:00,0.7270000000000001
2022-04-18T00:00:00Z,kWh Consumed,11:15:00,0.594
2022-04-18T00:00:00Z,kWh Consumed,11:30:00,1.463
2022-04-18T00:00:00Z,kWh Consumed,11:45:00,0.8989999999999999
2022-04-18T00:00:00Z,kWh Consumed,12:00:00,0.7869999999999999
2022-04-18T00:00:00Z,kWh Consumed,12:15:00,0.9200000000000002
2022-04-18T00:00:00Z,kWh Consumed,12:30:00,0.375
2022-04-18T00:00:00Z,kWh Consumed,12:45:00,0.16600000000000004
2022-04-18T00:00:00Z,kWh Consumed,13:00:00,0.2360000000000001
2022-04-18T00:00:00Z,kWh Consumed,13:15:00,0.712
2022-04-18T00:00:00Z,kWh Consumed,13:30:00,0.19199999999999995
2022-04-18T00:00:00Z,kWh Consumed,13:45:00,0.20099999999999996
2022-04-18T00:00:00Z,kWh Consumed,14:00:00,0.772
2022-04-18T00:00:00Z,kWh Consumed,14:15:00,0.161
2022-04-18T00:00:00Z,kWh Consumed,14:30:00,0.516
2022-04-18T00:00:00Z,kWh Consumed,14:45:00,0.369
2022-04-18T00:00:00Z,kWh Consumed,15:00:00,0.202
2022-04-18T00:00:00Z,kWh Consumed,15:15:00,0.747
2022-04-18T00:00:00Z,kWh Consumed,15:30:00,0.276
2022-04-18T00:00:00Z,kWh Consumed,15:45:00,0.277
2022-04-18T00:00:00Z,kWh Consumed,16:00:00,0.28700000000000003
2022-04-18T00:00:00Z,kWh Consumed,16:15:00,0.635
2022-04-18T00:00:00Z,kWh Consumed,16:30:00,0.542
2022-04-18T00:00:00Z,kWh Consumed,16:45:00,0.249
2022-04-18T00:00:00Z,kWh Consumed,17:00:00,0.267
2022-04-18T00:00:00Z,kWh Consumed,17:15:00,0.53
2022-04-18T00:00:00Z,kWh Consumed,17:30:00,0.46799999999999997
2022-04-18T00:00:00Z,kWh Consumed,17:45:00,0.22199999999999998
2022-04-18T00:00:00Z,kWh Consumed,18:00:00,0.8620000000000001
2022-04-18T00:00:00Z,kWh Consumed,18:15:00,0.364
2022-04-18T00:00:00Z,kWh Consumed,18:30:00,0.184
2022-04-18T00:00:00Z,kWh Consumed,18:45:00,0.882
2022-04-18T00:00:00Z,kWh Consumed,19:00:00,0.132
2022-04-18T00:00:00Z,kWh Consumed,19:15:00,0.6
2022-04-18T00:00:00Z,kWh Consumed,19:30:00,0.22
2022-04-18T00:00:00Z,kWh Consumed,19:45:00,0.69
2022-04-18T00:00:00Z,kWh Consumed,20:00:00,0.35
2022-04-18T00:00:00Z,kWh Consumed,20:15:00,0.6
2022-04-18T00:00:00Z,kWh Consumed,20:30:00,0.42
2022-04-18T00:00:00Z,kWh Consumed,20:45:00,1.11
2022-04-18T00:00:00Z,kWh Consumed,21:00:00,0.55
2022-04-18T00:00:00Z,kWh Consumed,21:15:00,1.04
2022-04-18T00:00:00Z,kWh Consumed,21:30:00,0.42
2022-04-18T00:00:00Z,kWh Consumed,21:45:00,0.86
2022-04-18T00:00:00Z,kWh Consumed,22:00:00,0.22
2022-04-18T00:00:00Z,kWh Consumed,22:15:00,0.2
2022-04-18T00:00:00Z,kWh Consumed,22:30:00,0.19
2022-04-18T00:00:00Z,kWh Consumed,22:45:00,0.17
2022-04-18T00:00:00Z,kWh Consumed,23:00:00,0.16
2022-04-18T00:00:00Z,kWh Consumed,23:15:00,0.18
2022-04-18T00:00:00Z,kWh Consumed,23:30:00,0.16
2022-04-18T00:00:00Z,kWh Consumed,23:45:00,0.18
2022-04-19T00:00:00Z,kWh Consumed,00:00:00,0.19
2022-04-19T00:00:00Z,kWh Consumed,00:15:00,0.21
2022-04-19T00:00:00Z,kWh Consumed,00:30:00,0.19
2022-04-19T00:00:00Z,kWh Consumed,00:45:00,0.2
2022-04-19T00:00:00Z,kWh Consumed,01:00:00,0.17
2022-04-19T00:00:00Z,kWh Consumed,01:15:00,0.18
2022-04-19T00:00:00Z,kWh Consumed,01:30:00,0.08
2022-04-19T00:00:00Z,kWh Consumed,01:45:00,0.07
2022-04-19T00:00:00Z,kWh Consumed,02:00:00,0.14
2022-04-19T00:00:00Z,kWh Consumed,02:15:00,0.09
2022-04-19T00:00:00Z,kWh Consumed,02:30:00,0.09
2022-04-19T00:00:00Z,kWh Consumed,02:45:00,0.71
2022-04-19T00:00:00Z,kWh Consumed,03:00:00,0.08
2022-04-19T00:00:00Z,kWh Consumed,03:15:00,0.6
2022-04-19T00:00:00Z,kWh Consumed,03:30:00,0.07
2022-04-19T00:00:00Z,kWh Consumed,03:45:00,0.24
2022-04-19T00:00:00Z,kWh Consumed,04:00:00,0.42
2022-04-19T00:00:00Z,kWh Consumed,04:15:00,0.11
2022-04-19T00:00:00Z,kWh Consumed,04:30:00,0.57
2022-04-19T00:00:00Z,kWh Consumed,04:45:00,0.35
2022-04-19T00:00:00Z,kWh Consumed,05:00:00,0.31
